date,method,run,tau_mm,true_high_count,model_detect_count,false_safe_count,recall
20260705,B0,B0_fixed_150_220_r1,0.5,281,116,165,0.4128113879003559
20260705,B0,B0_fixed_150_220_r1,1.0,43,12,31,0.27906976744186046
20260705,B0,B0_fixed_150_220_r1,1.5,24,5,19,0.20833333333333334
20260705,B0,B0_fixed_150_220_r1,2.0,5,0,5,0.0
20260705,B0,B0_fixed_150_220_r1,3.0,0,0,0,nan
20260705,B0,B0_fixed_150_220_r1,4.0,0,0,0,nan
20260705,B0,B0_fixed_150_220_r2,0.5,178,88,90,0.4943820224719101
20260705,B0,B0_fixed_150_220_r2,1.0,36,11,25,0.3055555555555556
20260705,B0,B0_fixed_150_220_r2,1.5,18,3,15,0.16666666666666666
20260705,B0,B0_fixed_150_220_r2,2.0,0,0,0,nan
20260705,B0,B0_fixed_150_220_r2,3.0,0,0,0,nan
20260705,B0,B0_fixed_150_220_r2,4.0,0,0,0,nan
20260705,B0,B0_fixed_150_220_r3,0.5,240,111,129,0.4625
20260705,B0,B0_fixed_150_220_r3,1.0,63,11,52,0.1746031746031746
20260705,B0,B0_fixed_150_220_r3,1.5,33,0,33,0.0
20260705,B0,B0_fixed_150_220_r3,2.0,9,0,9,0.0
20260705,B0,B0_fixed_150_220_r3,3.0,0,0,0,nan
20260705,B0,B0_fixed_150_220_r3,4.0,0,0,0,nan
20260705,B_ours,Bours_fixed_150_220_r1,0.5,199,67,132,0.33668341708542715
20260705,B_ours,Bours_fixed_150_220_r1,1.0,44,5,39,0.11363636363636363
20260705,B_ours,Bours_fixed_150_220_r1,1.5,19,1,18,0.05263157894736842
20260705,B_ours,Bours_fixed_150_220_r1,2.0,6,0,6,0.0
20260705,B_ours,Bours_fixed_150_220_r1,3.0,0,0,0,nan
20260705,B_ours,Bours_fixed_150_220_r1,4.0,0,0,0,nan
20260705,B_ours,Bours_fixed_150_220_r2,0.5,203,60,143,0.2955665024630542
20260705,B_ours,Bours_fixed_150_220_r2,1.0,39,10,29,0.2564102564102564
20260705,B_ours,Bours_fixed_150_220_r2,1.5,0,0,0,nan
20260705,B_ours,Bours_fixed_150_220_r2,2.0,0,0,0,nan
20260705,B_ours,Bours_fixed_150_220_r2,3.0,0,0,0,nan
20260705,B_ours,Bours_fixed_150_220_r2,4.0,0,0,0,nan
20260705,B_ours,Bours_fixed_150_220_r3,0.5,80,18,62,0.225
20260705,B_ours,Bours_fixed_150_220_r3,1.0,16,2,14,0.125
20260705,B_ours,Bours_fixed_150_220_r3,1.5,9,0,9,0.0
20260705,B_ours,Bours_fixed_150_220_r3,2.0,3,0,3,0.0
20260705,B_ours,Bours_fixed_150_220_r3,3.0,0,0,0,nan
20260705,B_ours,Bours_fixed_150_220_r3,4.0,0,0,0,nan
20260705,B_slosh,Bslosh_fixed_150_220_r1,0.5,175,26,149,0.14857142857142858
20260705,B_slosh,Bslosh_fixed_150_220_r1,1.0,50,0,50,0.0
20260705,B_slosh,Bslosh_fixed_150_220_r1,1.5,25,0,25,0.0
20260705,B_slosh,Bslosh_fixed_150_220_r1,2.0,15,0,15,0.0
20260705,B_slosh,Bslosh_fixed_150_220_r1,3.0,0,0,0,nan
20260705,B_slosh,Bslosh_fixed_150_220_r1,4.0,0,0,0,nan
20260705,B_slosh,Bslosh_fixed_150_220_r2,0.5,275,40,235,0.14545454545454545
20260705,B_slosh,Bslosh_fixed_150_220_r2,1.0,26,1,25,0.038461538461538464
20260705,B_slosh,Bslosh_fixed_150_220_r2,1.5,17,0,17,0.0
20260705,B_slosh,Bslosh_fixed_150_220_r2,2.0,0,0,0,nan
20260705,B_slosh,Bslosh_fixed_150_220_r2,3.0,0,0,0,nan
20260705,B_slosh,Bslosh_fixed_150_220_r2,4.0,0,0,0,nan
20260705,B_slosh,Bslosh_fixed_150_220_r3,0.5,210,40,170,0.19047619047619047
20260705,B_slosh,Bslosh_fixed_150_220_r3,1.0,40,0,40,0.0
20260705,B_slosh,Bslosh_fixed_150_220_r3,1.5,22,0,22,0.0
20260705,B_slosh,Bslosh_fixed_150_220_r3,2.0,0,0,0,nan
20260705,B_slosh,Bslosh_fixed_150_220_r3,3.0,0,0,0,nan
20260705,B_slosh,Bslosh_fixed_150_220_r3,4.0,0,0,0,nan
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r1,0.5,329,96,233,0.2917933130699088
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r1,1.0,58,14,44,0.2413793103448276
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r1,1.5,30,2,28,0.06666666666666667
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r1,2.0,7,0,7,0.0
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r1,3.0,0,0,0,nan
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r1,4.0,0,0,0,nan
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r2,0.5,367,132,235,0.35967302452316074
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r2,1.0,85,23,62,0.27058823529411763
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r2,1.5,34,1,33,0.029411764705882353
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r2,2.0,4,0,4,0.0
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r2,3.0,0,0,0,nan
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r2,4.0,0,0,0,nan
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r3,0.5,344,135,209,0.39244186046511625
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r3,1.0,87,28,59,0.3218390804597701
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r3,1.5,41,2,39,0.04878048780487805
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r3,2.0,8,0,8,0.0
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r3,3.0,0,0,0,nan
20260706,B_smooth,Bsmooth_fixed_150_220_0706_r3,4.0,0,0,0,nan
20260706,B_ours,Bours_fixed_150_220_0706_r1,0.5,422,146,276,0.3459715639810427
20260706,B_ours,Bours_fixed_150_220_0706_r1,1.0,70,16,54,0.22857142857142856
20260706,B_ours,Bours_fixed_150_220_0706_r1,1.5,12,0,12,0.0
20260706,B_ours,Bours_fixed_150_220_0706_r1,2.0,0,0,0,nan
20260706,B_ours,Bours_fixed_150_220_0706_r1,3.0,0,0,0,nan
20260706,B_ours,Bours_fixed_150_220_0706_r1,4.0,0,0,0,nan
20260706,B_ours,Bours_fixed_150_220_0706_r2,0.5,495,145,350,0.29292929292929293
20260706,B_ours,Bours_fixed_150_220_0706_r2,1.0,114,23,91,0.20175438596491227
20260706,B_ours,Bours_fixed_150_220_0706_r2,1.5,63,2,61,0.031746031746031744
20260706,B_ours,Bours_fixed_150_220_0706_r2,2.0,28,0,28,0.0
20260706,B_ours,Bours_fixed_150_220_0706_r2,3.0,5,0,5,0.0
20260706,B_ours,Bours_fixed_150_220_0706_r2,4.0,0,0,0,nan
20260706,B_ours,Bours_fixed_150_220_0706_r3,0.5,508,94,414,0.18503937007874016
20260706,B_ours,Bours_fixed_150_220_0706_r3,1.0,91,0,91,0.0
20260706,B_ours,Bours_fixed_150_220_0706_r3,1.5,47,0,47,0.0
20260706,B_ours,Bours_fixed_150_220_0706_r3,2.0,11,0,11,0.0
20260706,B_ours,Bours_fixed_150_220_0706_r3,3.0,0,0,0,nan
20260706,B_ours,Bours_fixed_150_220_0706_r3,4.0,0,0,0,nan
20260706,B_slosh,Bslosh_fixed_150_220_0706_r1,0.5,449,65,384,0.1447661469933185
20260706,B_slosh,Bslosh_fixed_150_220_0706_r1,1.0,137,3,134,0.021897810218978103
20260706,B_slosh,Bslosh_fixed_150_220_0706_r1,1.5,80,0,80,0.0
20260706,B_slosh,Bslosh_fixed_150_220_0706_r1,2.0,29,0,29,0.0
20260706,B_slosh,Bslosh_fixed_150_220_0706_r1,3.0,0,0,0,nan
20260706,B_slosh,Bslosh_fixed_150_220_0706_r1,4.0,0,0,0,nan
20260706,B_slosh,Bslosh_fixed_150_220_0706_r2,0.5,530,76,454,0.14339622641509434
20260706,B_slosh,Bslosh_fixed_150_220_0706_r2,1.0,68,1,67,0.014705882352941176
20260706,B_slosh,Bslosh_fixed_150_220_0706_r2,1.5,42,0,42,0.0
20260706,B_slosh,Bslosh_fixed_150_220_0706_r2,2.0,15,0,15,0.0
20260706,B_slosh,Bslosh_fixed_150_220_0706_r2,3.0,7,0,7,0.0
20260706,B_slosh,Bslosh_fixed_150_220_0706_r2,4.0,0,0,0,nan
