candidate,run,tau_mm,true_high_count,model_detect_count,false_safe_count,recall
T4,TEB_noobs_track_T4_0713_formal_r1,0.5,86,34,52,0.3953488372093023
T4,TEB_noobs_track_T4_0713_formal_r1,1.0,26,7,19,0.2692307692307692
T4,TEB_noobs_track_T4_0713_formal_r1,1.5,20,3,17,0.15
T4,TEB_noobs_track_T4_0713_formal_r1,2.0,17,1,16,0.058823529411764705
T4,TEB_noobs_track_T4_0713_formal_r1,3.0,10,0,10,0.0
T4,TEB_noobs_track_T4_0713_formal_r1,4.0,0,0,0,nan
T4,TEB_noobs_track_T4_0713_formal_r2,0.5,186,93,93,0.5
T4,TEB_noobs_track_T4_0713_formal_r2,1.0,97,27,70,0.27835051546391754
T4,TEB_noobs_track_T4_0713_formal_r2,1.5,46,6,40,0.13043478260869565
T4,TEB_noobs_track_T4_0713_formal_r2,2.0,27,3,24,0.1111111111111111
T4,TEB_noobs_track_T4_0713_formal_r2,3.0,20,3,17,0.15
T4,TEB_noobs_track_T4_0713_formal_r2,4.0,11,2,9,0.18181818181818182
T4,TEB_noobs_track_T4_0713_formal_r3,0.5,138,38,100,0.2753623188405797
T4,TEB_noobs_track_T4_0713_formal_r3,1.0,75,8,67,0.10666666666666667
T4,TEB_noobs_track_T4_0713_formal_r3,1.5,55,1,54,0.01818181818181818
T4,TEB_noobs_track_T4_0713_formal_r3,2.0,42,1,41,0.023809523809523808
T4,TEB_noobs_track_T4_0713_formal_r3,3.0,29,1,28,0.034482758620689655
T4,TEB_noobs_track_T4_0713_formal_r3,4.0,16,0,16,0.0
T5,TEB_noobs_track_T5_0713_formal_r1,0.5,230,116,114,0.5043478260869565
T5,TEB_noobs_track_T5_0713_formal_r1,1.0,120,34,86,0.2833333333333333
T5,TEB_noobs_track_T5_0713_formal_r1,1.5,71,7,64,0.09859154929577464
T5,TEB_noobs_track_T5_0713_formal_r1,2.0,36,2,34,0.05555555555555555
T5,TEB_noobs_track_T5_0713_formal_r1,3.0,21,2,19,0.09523809523809523
T5,TEB_noobs_track_T5_0713_formal_r1,4.0,15,1,14,0.06666666666666667
T5,TEB_noobs_track_T5_0713_formal_r2,0.5,126,63,63,0.5
T5,TEB_noobs_track_T5_0713_formal_r2,1.0,33,10,23,0.30303030303030304
T5,TEB_noobs_track_T5_0713_formal_r2,1.5,21,3,18,0.14285714285714285
T5,TEB_noobs_track_T5_0713_formal_r2,2.0,9,0,9,0.0
T5,TEB_noobs_track_T5_0713_formal_r2,3.0,7,0,7,0.0
T5,TEB_noobs_track_T5_0713_formal_r2,4.0,0,0,0,nan
T5,TEB_noobs_track_T5_0713_formal_r3,0.5,147,55,92,0.3741496598639456
T5,TEB_noobs_track_T5_0713_formal_r3,1.0,79,7,72,0.08860759493670886
T5,TEB_noobs_track_T5_0713_formal_r3,1.5,59,1,58,0.01694915254237288
T5,TEB_noobs_track_T5_0713_formal_r3,2.0,45,0,45,0.0
T5,TEB_noobs_track_T5_0713_formal_r3,3.0,25,0,25,0.0
T5,TEB_noobs_track_T5_0713_formal_r3,4.0,17,0,17,0.0
