schema,block,seed,position,condition
spmpc_phase_rejoin_formal_order_v1,1,3101,1,C0
spmpc_phase_rejoin_formal_order_v1,1,3101,2,C1
spmpc_phase_rejoin_formal_order_v1,1,3101,3,IS
spmpc_phase_rejoin_formal_order_v1,1,3101,4,C2
spmpc_phase_rejoin_formal_order_v1,1,3101,5,C4
spmpc_phase_rejoin_formal_order_v1,1,3101,6,C3
spmpc_phase_rejoin_formal_order_v1,2,3102,1,C1
spmpc_phase_rejoin_formal_order_v1,2,3102,2,C2
spmpc_phase_rejoin_formal_order_v1,2,3102,3,C0
spmpc_phase_rejoin_formal_order_v1,2,3102,4,C3
spmpc_phase_rejoin_formal_order_v1,2,3102,5,IS
spmpc_phase_rejoin_formal_order_v1,2,3102,6,C4
spmpc_phase_rejoin_formal_order_v1,3,3103,1,C2
spmpc_phase_rejoin_formal_order_v1,3,3103,2,C3
spmpc_phase_rejoin_formal_order_v1,3,3103,3,C1
spmpc_phase_rejoin_formal_order_v1,3,3103,4,C4
spmpc_phase_rejoin_formal_order_v1,3,3103,5,C0
spmpc_phase_rejoin_formal_order_v1,3,3103,6,IS
spmpc_phase_rejoin_formal_order_v1,4,3104,1,C3
spmpc_phase_rejoin_formal_order_v1,4,3104,2,C4
spmpc_phase_rejoin_formal_order_v1,4,3104,3,C2
spmpc_phase_rejoin_formal_order_v1,4,3104,4,IS
spmpc_phase_rejoin_formal_order_v1,4,3104,5,C1
spmpc_phase_rejoin_formal_order_v1,4,3104,6,C0
spmpc_phase_rejoin_formal_order_v1,5,3105,1,C4
spmpc_phase_rejoin_formal_order_v1,5,3105,2,IS
spmpc_phase_rejoin_formal_order_v1,5,3105,3,C3
spmpc_phase_rejoin_formal_order_v1,5,3105,4,C0
spmpc_phase_rejoin_formal_order_v1,5,3105,5,C2
spmpc_phase_rejoin_formal_order_v1,5,3105,6,C1
spmpc_phase_rejoin_formal_order_v1,6,3106,1,IS
spmpc_phase_rejoin_formal_order_v1,6,3106,2,C0
spmpc_phase_rejoin_formal_order_v1,6,3106,3,C4
spmpc_phase_rejoin_formal_order_v1,6,3106,4,C1
